ID,Model,ModelParameters,TransformationParameters,Ensemble
ac4ae82bc2bc809bbc04ddaec19b5682,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 2, ""lag_2"": 364}","{""fillna"": ""time"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""ClipOutliers""}, ""transformation_params"": {""0"": {}, ""1"": {""method"": ""remove"", ""std_threshold"": 2, ""fillna"": ""ffill""}}}",0
ac4ae82bc2bc809bbc04ddaec19b5682,SeasonalNaive,"{""method"": ""lastvalue"", ""lag_1"": 2, ""lag_2"": 364}","{""fillna"": ""time"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""ClipOutliers""}, ""transformation_params"": {""0"": {}, ""1"": {""method"": ""remove"", ""std_threshold"": 2, ""fillna"": ""ffill""}}}",0
b047dfdc83a5158fdd690db80fe7eedb,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 2, ""lag_2"": 28}","{""fillna"": ""time"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""SeasonalDifference"", ""2"": ""Detrend"", ""3"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""lag_1"": 12, ""method"": ""Median""}, ""2"": {""model"": ""GLS"", ""phi"": 1, ""window"": 10, ""transform_dict"": null}, ""3"": {}}}",0
058b517e1aa436721fac57f373189a87,GLS,{},"{""fillna"": ""linear"", ""transformations"": {""0"": ""HolidayTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Detrend"", ""3"": ""Detrend""}, ""transformation_params"": {""0"": {""threshold"": 0.8, ""splash_threshold"": null, ""use_dayofmonth_holidays"": true, ""use_wkdom_holidays"": true, ""use_wkdeom_holidays"": false, ""use_lunar_holidays"": false, ""use_lunar_weekday"": false, ""use_islamic_holidays"": false, ""use_hebrew_holidays"": false, ""anomaly_detector_params"": {""method"": ""IQR"", ""transform_dict"": null, ""method_params"": {""iqr_threshold"": 2.0, ""iqr_quantiles"": [0.25, 0.75]}, ""fillna"": ""ffill""}, ""remove_excess_anomalies"": true, ""impact"": null, ""regression_params"": {}}, ""1"": {}, ""2"": {""model"": ""Linear""}, ""3"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": null}}}",0
cc4491a1ed11f0d0d0f37d9e5a72c257,GLS,{},"{""fillna"": ""rolling_mean"", ""transformations"": {""0"": ""Detrend"", ""1"": ""DifferencedTransformer"", ""2"": ""ScipyFilter"", ""3"": ""PositiveShift""}, ""transformation_params"": {""0"": {""model"": ""GLS"", ""phi"": 1, ""window"": null, ""transform_dict"": {""fillna"": null, ""transformations"": {""0"": ""bkfilter""}, ""transformation_params"": {""0"": {}}}}, ""1"": {}, ""2"": {""method"": ""savgol_filter"", ""method_args"": [5, 1]}, ""3"": {}}}",0
4c4ee334d98c8bb5fc105242f4cf8a1e,GLS,{},"{""fillna"": ""ffill_mean_biased"", ""transformations"": {""0"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}}}",0
926e107a78950a6d766672e4ad430de9,SeasonalNaive,"{""method"": ""mean"", ""lag_1"": 8, ""lag_2"": 7}","{""fillna"": ""time"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""ScipyFilter"", ""2"": ""Detrend"", ""3"": ""MaxAbsScaler""}, ""transformation_params"": {""0"": {}, ""1"": {""method"": ""wiener"", ""method_args"": null}, ""2"": {""model"": ""GLS"", ""phi"": 1, ""window"": 10, ""transform_dict"": null}, ""3"": {}}}",0
fce4b7c8213a975d81b10016f03fe4ad,AverageValueNaive,"{""method"": ""Exp_Weighted_Mean"", ""window"": 364}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}}}",0
924ff7d357c75bb7b7e4923dbda314b4,AverageValueNaive,"{""method"": ""Exp_Weighted_Mean"", ""window"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}}}",0
57d133ab44f351c0df5df4d99ef158e3,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""mixed_metric"", ""models"": {""95b5a210b8be32191d9f9dc7107b83ef"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""mean\"", \""lag_1\"": 8, \""lag_2\"": 96}"", ""TransformationParameters"": ""{\""fillna\"": \""time\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""ed0ee00504c14a357c280cd7b8f07fe4"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 96, \""lag_2\"": 364}"", ""TransformationParameters"": ""{\""fillna\"": \""time\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""87c8d9bb5744ea4edac79a8cb5919f2a"": {""Model"": ""GLS"", ""ModelParameters"": ""{}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
c78c59e6513f2d99d36a13d81ca29429,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""best_score_unique"", ""models"": {""caf146432992f432fad65ffe5ff2e1b0"": {""Model"": ""LastValueNaive"", ""ModelParameters"": ""{}"", ""TransformationParameters"": ""{\""fillna\"": \""akima\"", \""transformations\"": {\""0\"": \""PositiveShift\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""ed0ee00504c14a357c280cd7b8f07fe4"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 96, \""lag_2\"": 364}"", ""TransformationParameters"": ""{\""fillna\"": \""time\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""1d391f9ec3885d79d9c06a7385fc75f2"": {""Model"": ""GLS"", ""ModelParameters"": ""{}"", ""TransformationParameters"": ""{\""fillna\"": \""time\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}}, ""model_weights"": {}, ""point_method"": ""mean""}",{},1
0f6ccf023295969e3ccbfd7299c080b5,Ensemble,"{""model_name"": ""BestN"", ""model_count"": 3, ""model_metric"": ""bestn_horizontal"", ""models"": {""ed0ee00504c14a357c280cd7b8f07fe4"": {""Model"": ""SeasonalNaive"", ""ModelParameters"": ""{\""method\"": \""lastvalue\"", \""lag_1\"": 96, \""lag_2\"": 364}"", ""TransformationParameters"": ""{\""fillna\"": \""time\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""32cf2150d286c79146c08bb7fe4e2ba1"": {""Model"": ""AverageValueNaive"", ""ModelParameters"": ""{\""method\"": \""Weighted_Mean\"", \""window\"": null}"", ""TransformationParameters"": ""{\""fillna\"": \""fake_date\"", \""transformations\"": {\""0\"": \""DifferencedTransformer\"", \""1\"": \""SinTrend\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}}}""}, ""3e1a08e80417858f5ffb4f6bc6817c2c"": {""Model"": ""ConstantNaive"", ""ModelParameters"": ""{\""constant\"": 0}"", ""TransformationParameters"": ""{\""fillna\"": \""ffill\"", \""transformations\"": {\""0\"": \""RobustScaler\"", \""1\"": \""SinTrend\"", \""2\"": \""AlignLastValue\""}, \""transformation_params\"": {\""0\"": {}, \""1\"": {}, \""2\"": {\""rows\"": 1, \""lag\"": 1, \""method\"": \""additive\"", \""strength\"": 1.0}}}""}}, ""model_weights"": {""ed0ee00504c14a357c280cd7b8f07fe4"": 3.0, ""32cf2150d286c79146c08bb7fe4e2ba1"": 2.0, ""3e1a08e80417858f5ffb4f6bc6817c2c"": 1.0}, ""point_method"": ""mean""}",{},1
32cf2150d286c79146c08bb7fe4e2ba1,AverageValueNaive,"{""method"": ""Weighted_Mean"", ""window"": null}","{""fillna"": ""fake_date"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""SinTrend""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0
9b312ae9a3bedb4cc712c7bcb969234b,LastValueNaive,{},"{""fillna"": ""ffill"", ""transformations"": {""0"": ""PositiveShift"", ""1"": ""SinTrend""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0
7c08e499d8203c4075c2c8ff12e72e9f,LastValueNaive,{},"{""fillna"": ""time"", ""transformations"": {""0"": ""PositiveShift"", ""1"": ""SinTrend""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0
caf146432992f432fad65ffe5ff2e1b0,LastValueNaive,{},"{""fillna"": ""akima"", ""transformations"": {""0"": ""PositiveShift"", ""1"": ""SinTrend""}, ""transformation_params"": {""0"": {}, ""1"": {}}}",0
